iteration,train_loss,train_precision,train_recall,train_F1,test_loss,test_precision,test_recall,test_F1,train_acc,test_acc
1,0.6952897906303406,0.07472524791955948,0.9945039749145508,0.16465029120445251,0.6908261775970459,0.07427050918340683,0.9998512864112854,0.18144334852695465,0.08057762682437897,0.07753951847553253
2,0.6914758682250977,0.07470821589231491,0.9930292963981628,0.1645830273628235,0.6872420310974121,0.07427472621202469,0.9998512864112854,0.18145263195037842,0.08144160360097885,0.07763899862766266
3,0.6877773404121399,0.07475047558546066,0.9932909607887268,0.1646590530872345,0.6836493015289307,0.07428933680057526,0.9998512864112854,0.1814868003129959,0.08251920342445374,0.07784900814294815
4,0.6842011213302612,0.07470252364873886,0.9910940527915955,0.16455353796482086,0.6800184845924377,0.07432775944471359,0.9997886419296265,0.18157103657722473,0.08337843418121338,0.07873328030109406
5,0.6802785992622375,0.07474552094936371,0.9881824254989624,0.1645975261926651,0.6763225793838501,0.0744234174489975,0.9997886419296265,0.18179017305374146,0.08510638028383255,0.0806344673037529
6,0.6765854954719543,0.07467241585254669,0.9877450466156006,0.16439934074878693,0.6725347638130188,0.0742674395442009,0.9961203932762146,0.18134808540344238,0.08663970232009888,0.08243616670370102
7,0.672671377658844,0.07472538948059082,0.9877731800079346,0.16448983550071716,0.6686280965805054,0.07432684302330017,0.9959874749183655,0.1814814954996109,0.08869995176792145,0.08502265810966492
8,0.6687676310539246,0.07451096177101135,0.9814212322235107,0.16395169496536255,0.6645770072937012,0.0744643434882164,0.9958279728889465,0.18178534507751465,0.0915767103433609,0.08792970329523087
9,0.6647155284881592,0.07462295144796371,0.9779766201972961,0.16411754488945007,0.6603573560714722,0.07412263751029968,0.979966402053833,0.18076854944229126,0.0949091911315918,0.09159942716360092
10,0.6603116989135742,0.07461441308259964,0.9742397665977478,0.16402269899845123,0.6559443473815918,0.07445339113473892,0.979966402053833,0.18148453533649445,0.09993164241313934,0.09704874455928802
11,0.6558462977409363,0.0743667334318161,0.9565420746803284,0.1646886020898819,0.6513166427612305,0.07350300252437592,0.9610623717308044,0.1821218580007553,0.10428474843502045,0.10119376331567764
