iteration,train_loss,train_precision,train_recall,train_F1,test_loss,test_precision,test_recall,test_F1,train_acc,test_acc
1,0.7328085899353027,0.07379892468452454,0.7509487271308899,0.1681026965379715,0.7278248071670532,0.07512403279542923,0.7811660170555115,0.19117292761802673,0.27899304032325745,0.2821377217769623
2,0.7275398373603821,0.07469247281551361,0.7584317922592163,0.17013169825077057,0.7226185202598572,0.07538679987192154,0.7809677720069885,0.19171227514743805,0.28361672163009644,0.28550902009010315
3,0.722236156463623,0.07546006143093109,0.7607993483543396,0.17186608910560608,0.7174663543701172,0.07672397792339325,0.7912722826004028,0.19348715245723724,0.28731948137283325,0.28989720344543457
4,0.7170302271842957,0.07627968490123749,0.7578318119049072,0.17382687330245972,0.7123443484306335,0.07756321132183075,0.8002529740333557,0.19393913447856903,0.29145899415016174,0.2923731505870819
5,0.7119052410125732,0.07736890017986298,0.7755299210548401,0.1749027520418167,0.7072277069091797,0.07799742370843887,0.8012413382530212,0.1949707269668579,0.29547980427742004,0.2987620234489441
6,0.7067368626594543,0.07833868265151978,0.7806541919708252,0.17558246850967407,0.7020919322967529,0.07968167960643768,0.813353419303894,0.1992528736591339,0.3004167973995209,0.30359235405921936
7,0.7015297412872314,0.0793742686510086,0.7868863940238953,0.17794202268123627,0.6969136595726013,0.08081670105457306,0.8194727897644043,0.20214742422103882,0.3055674135684967,0.3103238642215729
8,0.6963034868240356,0.08028077334165573,0.7814573645591736,0.18153950572013855,0.6916669011116028,0.08189854770898819,0.8244287371635437,0.20496027171611786,0.31160101294517517,0.3158726692199707
9,0.6910243034362793,0.08099111169576645,0.790631890296936,0.18157511949539185,0.6863262057304382,0.08220462501049042,0.8241414427757263,0.2056361883878708,0.3172168433666229,0.32042667269706726
10,0.6857990622520447,0.0819971039891243,0.7930487990379333,0.1837952882051468,0.6808669567108154,0.0833519995212555,0.8231140971183777,0.20834144949913025,0.32325518131256104,0.32888251543045044
11,0.6801527142524719,0.08314195275306702,0.7860372066497803,0.18788722157478333,0.6752609610557556,0.08449318259954453,0.8343464136123657,0.20925270020961761,0.3310309648513794,0.3359345495700836
12,0.6746495366096497,0.08402175456285477,0.7809106111526489,0.19128988683223724,0.6694786548614502,0.08501361310482025,0.8274480104446411,0.21202625334262848,0.3395140767097473,0.3468000590801239
13,0.6689677834510803,0.08475257456302643,0.7951980233192444,0.1911376714706421,0.6634891033172607,0.08560633659362793,0.8271303772926331,0.213260218501091,0.34669172763824463,0.35630595684051514
14,0.662950336933136,0.08542101085186005,0.7794511318206787,0.1957741230726242,0.6572566628456116,0.08632125705480576,0.8256998062133789,0.21463844180107117,0.35499444603919983,0.36447441577911377
15,0.6568937301635742,0.08591778576374054,0.7699192762374878,0.19839386641979218,0.6507409811019897,0.08737248927354813,0.8274028897285461,0.21708975732326508,0.36441272497177124,0.37407979369163513
16,0.6504010558128357,0.08651065081357956,0.7617669701576233,0.2012224793434143,0.6438913345336914,0.08794737607240677,0.8083769679069519,0.22438883781433105,0.3743247091770172,0.38738808035850525
17,0.6434428095817566,0.08793247491121292,0.7597389817237854,0.20787876844406128,0.6366544365882874,0.08894424885511398,0.8075283765792847,0.22646936774253845,0.38616877794265747,0.39934784173965454
18,0.6369198560714722,0.08864013850688934,0.7535466551780701,0.20548270642757416,0.6289805173873901,0.09078305959701538,0.8023051619529724,0.2329230159521103,0.39610451459884644,0.41034597158432007
19,0.6287941932678223,0.08944063633680344,0.7435059547424316,0.21053940057754517,0.6208240985870361,0.09117132425308228,0.7759953737258911,0.23770686984062195,0.40944868326187134,0.42461588978767395
20,0.6209351420402527,0.09035477787256241,0.7315534949302673,0.21213150024414062,0.6121557354927063,0.09196341037750244,0.7651796936988831,0.23905029892921448,0.42292100191116333,0.4400574862957001
21,0.612109363079071,0.0912138894200325,0.7224157452583313,0.21531812846660614,0.6029636859893799,0.09133870899677277,0.7371848821640015,0.2435801774263382,0.4385152757167816,0.4576655328273773
22,0.6034538745880127,0.09170375764369965,0.7042244076728821,0.21560625731945038,0.5932576060295105,0.09212492406368256,0.7278739809989929,0.24989904463291168,0.4541950225830078,0.47675472497940063
23,0.5940446257591248,0.09231571108102798,0.6915626525878906,0.21608319878578186,0.5830641984939575,0.09284518659114838,0.7230340242385864,0.2542042136192322,0.4721628725528717,0.4939980208873749
24,0.5837581157684326,0.09274233132600784,0.6770417094230652,0.22019119560718536,0.5724281668663025,0.09290261566638947,0.7061533331871033,0.2558000981807709,0.49061495065689087,0.5150989294052124
25,0.5734347105026245,0.09358389675617218,0.661340057849884,0.22099390625953674,0.5614032745361328,0.092095285654068,0.6722676753997803,0.2601999342441559,0.5098550319671631,0.5330164432525635
26,0.5626556277275085,0.09402833133935928,0.6534956097602844,0.22066576778888702,0.5500496625900269,0.09285502135753632,0.6466700434684753,0.2661269009113312,0.5294131636619568,0.5546368956565857
27,0.5517408847808838,0.09438502043485641,0.6270647048950195,0.22852888703346252,0.5384265184402466,0.09295467287302017,0.6265140771865845,0.2702927589416504,0.5492419004440308,0.5758152008056641
28,0.5399970412254333,0.09513009339570999,0.6022600531578064,0.2242545187473297,0.5265874266624451,0.0949026569724083,0.6151756048202515,0.2774098217487335,0.5698776245117188,0.5948933362960815
