iteration,train_loss,train_precision,train_recall,train_F1,test_loss,test_precision,test_recall,test_F1,train_acc,test_acc
1,0.7122854590415955,0.0722830519080162,0.8002206683158875,0.1575891524553299,0.6726358532905579,0.06491755694150925,0.7451268434524536,0.17569813132286072,0.21199217438697815,0.2415386289358139
2,0.6770874857902527,0.07148627191781998,0.7552691698074341,0.15475694835186005,0.6383610367774963,0.06248850375413895,0.6626152992248535,0.17958083748817444,0.2568809390068054,0.30051949620246887
3,0.6438459157943726,0.07080885767936707,0.6930446028709412,0.14827647805213928,0.6059391498565674,0.059588897973299026,0.5832721590995789,0.1815672665834427,0.3109126687049866,0.3689510226249695
4,0.6122126579284668,0.07088097929954529,0.6259074211120605,0.14885938167572021,0.5750687122344971,0.057389505207538605,0.49061042070388794,0.18453946709632874,0.3728531002998352,0.44266608357429504
5,0.5822321176528931,0.06847627460956573,0.5373449921607971,0.14175504446029663,0.5455536842346191,0.05347913131117821,0.40792226791381836,0.18911737203598022,0.44090309739112854,0.5271360874176025
6,0.5534005761146545,0.06652338802814484,0.4467160701751709,0.14136460423469543,0.5173218846321106,0.04929094389081001,0.31851571798324585,0.19812601804733276,0.5153853893280029,0.617121696472168
7,0.5257728695869446,0.06459994614124298,0.3924664258956909,0.13277855515480042,0.49040791392326355,0.03559612110257149,0.24537211656570435,0.18063797056674957,0.5898202657699585,0.6948822736740112
8,0.49932342767715454,0.06310028582811356,0.30862337350845337,0.12739282846450806,0.4649152457714081,0.035250842571258545,0.18046338856220245,0.18863146007061005,0.6618958115577698,0.7564386129379272
9,0.473993182182312,0.06022338569164276,0.22335676848888397,0.1123005673289299,0.44096890091896057,0.020211240276694298,0.09852275252342224,0.19758567214012146,0.7240403890609741,0.8055266737937927
10,0.4503233730792999,0.054644592106342316,0.17388811707496643,0.10843309760093689,0.4186723530292511,0.017661673948168755,0.07525575160980225,0.20023509860038757,0.7757222652435303,0.8424007892608643
11,0.42834168672561646,0.04824530705809593,0.1228216290473938,0.09898927807807922,0.3980794847011566,0.01731942966580391,0.049629006534814835,0.27716726064682007,0.81715989112854,0.8699126839637756
12,0.40752357244491577,0.04877132549881935,0.09730236977338791,0.0938604548573494,0.37918680906295776,0.018418487161397934,0.03819829598069191,0.29943525791168213,0.84964919090271,0.8909141421318054
13,0.3885088264942169,0.042792972177267075,0.05950139835476875,0.10561861842870712,0.3619346618652344,0.01879192888736725,0.026158999651670456,0.3118587136268616,0.8732945919036865,0.9028849601745605
14,0.37046074867248535,0.04137406498193741,0.04278184846043587,0.13547851145267487,0.34622377157211304,0.02541671320796013,0.024389799684286118,0.3273918330669403,0.8911769986152649,0.9118492603302002
15,0.35447025299072266,0.054143328219652176,0.04676470905542374,0.155392125248909,0.33193060755729675,0.02851937897503376,0.023745950311422348,0.38902172446250916,0.9031540155410767,0.9179728031158447
16,0.34000125527381897,0.04987134411931038,0.029424047097563744,0.19065259397029877,0.31893113255500793,0.05400999262928963,0.028660723939538002,0.46621426939964294,0.9113427996635437,0.9225157499313354
17,0.32670071721076965,0.044443123042583466,0.027454063296318054,0.2314552515745163,0.3071134090423584,0.0769583061337471,0.02900182083249092,0.49071332812309265,0.9168968796730042,0.925301194190979
18,0.31430530548095703,0.06515722721815109,0.02782617323100567,0.18819303810596466,0.2963778078556061,0.08700235188007355,0.029272878542542458,0.6121641993522644,0.9205901622772217,0.9265834093093872
19,0.30295059084892273,0.05723970755934715,0.02746368758380413,0.2575995922088623,0.2866398096084595,0.11111794412136078,0.025462370365858078,0.5523917078971863,0.9231820702552795,0.9268155097961426
20,0.29268139600753784,0.09449561685323715,0.02598421275615692,0.23464126884937286,0.2778230309486389,0.15222199261188507,0.02517447993159294,0.5540837049484253,0.9244353175163269,0.9273129105567932
21,0.28389084339141846,0.10205096006393433,0.026179078966379166,0.274360716342926,0.2698569893836975,0.2010996788740158,0.024616435170173645,0.5463622212409973,0.9251568913459778,0.9274566173553467
22,0.27508479356765747,0.18385624885559082,0.025636568665504456,0.25443387031555176,0.26267609000205994,0.3041991591453552,0.02680807001888752,0.6006259918212891,0.9258309602737427,0.9280313849449158
23,0.26790428161621094,0.1925506740808487,0.02596060372889042,0.24044036865234375,0.2562148869037628,0.34123820066452026,0.02687445841729641,0.6035388112068176,0.9259876608848572,0.9281308650970459
24,0.2611912488937378,0.22771704196929932,0.025836393237113953,0.26078101992607117,0.25041139125823975,0.43915995955467224,0.027031423524022102,0.5239273905754089,0.9259971380233765,0.928296685218811
25,0.2549651563167572,0.3598480522632599,0.026233285665512085,0.24835029244422913,0.24520395696163177,0.5000618100166321,0.026891319081187248,0.5247514247894287,0.9264149069786072,0.9283740520477295
26,0.24961310625076294,0.3877905607223511,0.02654637210071087,0.25433167815208435,0.24053318798542023,0.5474767088890076,0.026310699060559273,0.5175781846046448,0.92631995677948,0.9283850789070129
27,0.24418947100639343,0.43183502554893494,0.028380680829286575,0.276856929063797,0.23634274303913116,0.5228962898254395,0.024103280156850815,0.4611020088195801,0.926956057548523,0.9280203580856323
28,0.24013200402259827,0.5308533310890198,0.029232725501060486,0.2691069543361664,0.2325778305530548,0.4237160086631775,0.023225300014019012,0.5343860387802124,0.9271032214164734,0.9278655648231506
29,0.23601827025413513,0.4599873125553131,0.029257003217935562,0.27375051379203796,0.22918866574764252,0.44459861516952515,0.023096853867173195,0.5417723059654236,0.9273073673248291,0.9279540181159973
30,0.23238180577754974,0.5286206603050232,0.031131234019994736,0.24535568058490753,0.22612892091274261,0.3837517201900482,0.019101545214653015,0.5277817249298096,0.9276301264762878,0.9271250367164612
31,0.22930610179901123,0.49500301480293274,0.03080720081925392,0.2599261999130249,0.22335804998874664,0.577749490737915,0.02381245791912079,0.48371365666389465,0.927554190158844,0.9281198382377625
32,0.22631943225860596,0.6737217903137207,0.031857702881097794,0.26838573813438416,0.22083839774131775,0.6601393222808838,0.02613968588411808,0.4709640443325043,0.9278010129928589,0.9286503791809082
33,0.223393976688385,0.7355527281761169,0.03289246931672096,0.27960488200187683,0.21853843331336975,0.6626759767532349,0.025806736201047897,0.46834322810173035,0.9282994866371155,0.9287277460098267
34,0.2211747020483017,0.617058515548706,0.03221428766846657,0.2483447939157486,0.21643081307411194,0.5697877407073975,0.022378703579306602,0.5369812250137329,0.9283326864242554,0.9281861186027527
