iteration,train_loss,train_precision,train_recall,train_F1,test_loss,test_precision,test_recall,test_F1,train_accuracy,test_accuracy
1,0.6943672895431519,0.07469028979539871,1.0,0.16466660797595978,0.6903647184371948,0.07421573251485825,1.0,0.18131692707538605,0.07479088753461838,0.07435613870620728
2,0.6906675100326538,0.07470954954624176,1.0,0.16470001637935638,0.6866813898086548,0.07421573251485825,1.0,0.18131692707538605,0.0748763382434845,0.07436719536781311
3,0.6869913935661316,0.07470954954624176,1.0,0.16470001637935638,0.6829615831375122,0.07421820610761642,1.0,0.18132178485393524,0.07488108426332474,0.07437824457883835
4,0.6832793354988098,0.07471184432506561,1.0,0.16470400989055634,0.6791467666625977,0.07422316819429398,1.0,0.18133153021335602,0.0749000757932663,0.07441140711307526
5,0.6794732213020325,0.07471184432506561,1.0,0.16470400989055634,0.6751781105995178,0.07423321902751923,1.0,0.18135124444961548,0.07490482181310654,0.07455509901046753
6,0.6755143404006958,0.07472129166126251,1.0,0.16472047567367554,0.6709964871406555,0.07424875348806381,1.0,0.1813817322254181,0.07502824813127518,0.07514093071222305
7,0.6713438630104065,0.07474299520254135,1.0,0.16475807130336761,0.6665422320365906,0.07411318272352219,0.9987795352935791,0.1810399442911148,0.07564537227153778,0.07709737867116928
8,0.6669028401374817,0.07458112388849258,0.9987556338310242,0.1643894761800766,0.661756157875061,0.07382915169000626,0.9964911937713623,0.18033599853515625,0.07748725265264511,0.07844589650630951
9,0.6621325016021729,0.07432037591934204,0.9968751668930054,0.16380010545253754,0.6565800309181213,0.07396791130304337,0.9964911937713623,0.18061867356300354,0.07886391878128052,0.08173980563879013
10,0.656975269317627,0.07445863634347916,0.9968751668930054,0.16404621303081512,0.6509578824043274,0.07354924082756042,0.9931350350379944,0.179605633020401,0.08207297325134277,0.0854758471250534
11,0.6513755917549133,0.07401875406503677,0.9938886165618896,0.16309107840061188,0.6448360681533813,0.07342921942472458,0.9822309017181396,0.18077193200588226,0.08568078279495239,0.09461700171232224
12,0.6452800035476685,0.07389170676469803,0.9840120673179626,0.1640172004699707,0.6381638646125793,0.07353959232568741,0.9801948666572571,0.18099810183048248,0.0945531502366066,0.10627832263708115
13,0.6386384963989258,0.07399924099445343,0.9820625185966492,0.16419364511966705,0.6308945417404175,0.07292773574590683,0.9398898482322693,0.1859401911497116,0.10650165379047394,0.12250469624996185
14,0.631403923034668,0.07333016395568848,0.9559324383735657,0.16532255709171295,0.6229853630065918,0.07203587889671326,0.9260542392730713,0.18345551192760468,0.1225801557302475,0.14430198073387146
15,0.6235339045524597,0.07253874093294144,0.9446866512298584,0.1634102463722229,0.614399254322052,0.06975481659173965,0.8899204730987549,0.18070049583911896,0.1447824388742447,0.1759146749973297
16,0.6149910092353821,0.0702911838889122,0.9098535180091858,0.16074825823307037,0.605105996131897,0.06790871173143387,0.827293872833252,0.1858040690422058,0.1761656552553177,0.20743893086910248
17,0.6057443618774414,0.06847985833883286,0.8575168251991272,0.16146916151046753,0.5950833559036255,0.06536258012056351,0.7546797394752502,0.18949167430400848,0.2073732316493988,0.25052502751350403
18,0.5957710146903992,0.06602077186107635,0.7813241481781006,0.1664946973323822,0.5843196511268616,0.05941180884838104,0.6414652466773987,0.1839275360107422,0.25011155009269714,0.2986404299736023
19,0.5850581526756287,0.06012863665819168,0.6719329357147217,0.16507135331630707,0.5728161334991455,0.05735326558351517,0.5738217830657959,0.18715985119342804,0.29736438393592834,0.3526472747325897
20,0.573604941368103,0.05794366076588631,0.5874110460281372,0.1718875765800476,0.5605883002281189,0.05569341778755188,0.5314062833786011,0.1972290575504303,0.3508074879646301,0.4179396629333496
21,0.5614252686500549,0.05588893964886665,0.5437850952148438,0.1742774099111557,0.5476689338684082,0.05275817587971687,0.4753788709640503,0.1977219581604004,0.4147132337093353,0.47810325026512146
22,0.5485491752624512,0.05301423743367195,0.4884808361530304,0.17183266580104828,0.5341092944145203,0.045841850340366364,0.38878604769706726,0.1906256377696991,0.47442251443862915,0.5406653881072998
23,0.5350250601768494,0.046088188886642456,0.39134547114372253,0.16281576454639435,0.5199791789054871,0.04209284484386444,0.3405344486236572,0.18638944625854492,0.5358312726020813,0.5974355936050415
24,0.520919919013977,0.04230234771966934,0.3332887589931488,0.16512946784496307,0.505366861820221,0.038755420595407486,0.2784425616264343,0.18803802132606506,0.5923932194709778,0.6521056890487671
25,0.5063198208808899,0.039041824638843536,0.2685874402523041,0.16200070083141327,0.4903769791126251,0.03346215561032295,0.2371993213891983,0.1658744066953659,0.6476306915283203,0.7043329477310181
26,0.4913274645805359,0.03403909131884575,0.2240031510591507,0.14256836473941803,0.47512733936309814,0.028771549463272095,0.200691819190979,0.17198678851127625,0.7002382874488831,0.7519620060920715
27,0.4760603904724121,0.03160173445940018,0.18149656057357788,0.13425861299037933,0.4597451686859131,0.02537323534488678,0.1680227816104889,0.16285604238510132,0.7488203644752502,0.7890129089355469
28,0.4606470465660095,0.030064605176448822,0.14667244255542755,0.13757719099521637,0.4443623423576355,0.020951366052031517,0.1268935650587082,0.15255089104175568,0.7866881489753723,0.8212998509407043
29,0.445221871137619,0.02473447471857071,0.1081061139702797,0.12736010551452637,0.42911043763160706,0.021962428465485573,0.0964486300945282,0.1681547611951828,0.8195951581001282,0.848822832107544
30,0.4299205541610718,0.028604796156287193,0.08326131105422974,0.14043690264225006,0.41411587595939636,0.022391285747289658,0.05997784435749054,0.15935757756233215,0.8486570119857788,0.8715043663978577
31,0.4148741066455841,0.0223352313041687,0.05415711551904678,0.13640688359737396,0.39949551224708557,0.01577211357653141,0.04408925399184227,0.16697148978710175,0.8716378808021545,0.8898308873176575
32,0.40020403265953064,0.0191075149923563,0.03958722576498985,0.1359851360321045,0.38535353541374207,0.017096932977437973,0.03260628879070282,0.2476102113723755,0.8894110918045044,0.9046534895896912
33,0.3860178589820862,0.019173530861735344,0.02995799295604229,0.1858111470937729,0.3717784583568573,0.024030422791838646,0.030868126079440117,0.275236576795578,0.9043834805488586,0.9131425023078918
34,0.3724060654640198,0.021815435960888863,0.02825828082859516,0.2206394225358963,0.3588416874408722,0.0265495665371418,0.026444844901561737,0.28441891074180603,0.9128238558769226,0.9164695739746094
35,0.3594401180744171,0.011159474961459637,0.023805515840649605,0.3539804518222809,0.34659650921821594,0.07160168141126633,0.024310659617185593,0.339291512966156,0.91578608751297,0.9184370636940002
36,0.3471721410751343,0.0148277273401618,0.02219291403889656,0.34569501876831055,0.3350781500339508,0.06516437232494354,0.017008919268846512,0.37890878319740295,0.9179697632789612,0.919442892074585
37,0.335635244846344,0.020626727491617203,0.01572899892926216,0.29626497626304626,0.3243046700954437,0.09741557389497757,0.011779111810028553,0.3091670870780945,0.9190140962600708,0.9215872883796692
38,0.3248451054096222,0.015168456360697746,0.010812025517225266,0.3156649172306061,0.3142787516117096,0.17991864681243896,0.009855282492935658,0.3873225748538971,0.920813262462616,0.9234221577644348
39,0.3148024380207062,0.017504863440990448,0.009165086783468723,0.4139777421951294,0.30499011278152466,0.21609866619110107,0.008837955072522163,0.3419162631034851,0.9227595925331116,0.9245384931564331
