iteration,train_loss,train_precision,train_recall,train_F1,test_loss,test_precision,test_recall,test_F1,train_accuracy,test_accuracy
1,0.6921079754829407,0.0746627151966095,1.0,0.1646183431148529,0.6906651258468628,0.0741792842745781,1.0,0.18124458193778992,0.07466746121644974,0.0741792842745781
2,0.6907222270965576,0.0746627151966095,1.0,0.1646183431148529,0.6893191337585449,0.0741792842745781,1.0,0.18124458193778992,0.0746627151966095,0.0741792842745781
3,0.6893951892852783,0.0746632069349289,1.0,0.16461941599845886,0.6879602074623108,0.0741792842745781,1.0,0.18124458193778992,0.07467696070671082,0.0741792842745781
4,0.6880106329917908,0.07466349750757217,1.0,0.16462013125419617,0.6865398287773132,0.0741792842745781,1.0,0.18124458193778992,0.07469119876623154,0.0741792842745781
5,0.686694860458374,0.07466322928667068,1.0,0.16461946070194244,0.6850162744522095,0.0741792842745781,1.0,0.18124458193778992,0.07471493631601334,0.0741792842745781
6,0.6851455569267273,0.07466363161802292,1.0,0.16462038457393646,0.6833406686782837,0.0741792842745781,1.0,0.18124458193778992,0.0747101902961731,0.0741792842745781
7,0.6834251880645752,0.07466443628072739,1.0,0.1646222323179245,0.6814607381820679,0.07417929917573929,1.0,0.1812446266412735,0.0747813954949379,0.07419034093618393
8,0.6816240549087524,0.07466292381286621,1.0,0.1646188646554947,0.6793186068534851,0.07417938858270645,1.0,0.1812448799610138,0.0748288631439209,0.07423455268144608
9,0.6795174479484558,0.0746617391705513,0.9999813437461853,0.16461630165576935,0.6768472790718079,0.07417979091405869,1.0,0.1812460571527481,0.07500451058149338,0.07444456964731216
10,0.6770750284194946,0.07467207312583923,1.0,0.1646386831998825,0.6739669442176819,0.07418124377727509,1.0,0.18125025928020477,0.07550295442342758,0.07510776817798615
11,0.6742055416107178,0.07467853277921677,0.9919204711914062,0.1659633070230484,0.6705853939056396,0.07418966293334961,1.0,0.18127237260341644,0.0764903575181961,0.07622416317462921
12,0.6708102226257324,0.07470360398292542,0.9996518492698669,0.16469953954219818,0.6665923595428467,0.07421768456697464,1.0,0.18134449422359467,0.07818982750177383,0.07830219715833664
