iteration,train_loss,train_precision,train_recall,train_F1,test_loss,test_precision,test_recall,test_F1,train_accuracy,test_accuracy
24,0.6743902564048767,0.0746627151966095,1.0,0.1646183431148529,0.6731016039848328,0.0741792842745781,1.0,0.18124458193778992,0.0746627151966095,0.0741792842745781
25,0.6731465458869934,0.0746627151966095,1.0,0.1646183431148529,0.6718007922172546,0.0741792842745781,1.0,0.18124458193778992,0.0746627151966095,0.0741792842745781
26,0.6718488931655884,0.0746627151966095,1.0,0.1646183431148529,0.6704422235488892,0.0741792842745781,1.0,0.18124458193778992,0.0746627151966095,0.0741792842745781
27,0.6704932451248169,0.0746627151966095,1.0,0.1646183431148529,0.6690216660499573,0.0741792842745781,1.0,0.18124458193778992,0.0746627151966095,0.0741792842745781
28,0.6690759658813477,0.0746627151966095,1.0,0.1646183431148529,0.6675350666046143,0.0741792842745781,1.0,0.18124458193778992,0.0746627151966095,0.0741792842745781
29,0.6675927042961121,0.0746627151966095,1.0,0.1646183431148529,0.665978193283081,0.0741792842745781,1.0,0.18124458193778992,0.0746627151966095,0.0741792842745781
30,0.6660394072532654,0.0746627151966095,1.0,0.1646183431148529,0.6643465161323547,0.0741792842745781,1.0,0.18124458193778992,0.0746627151966095,0.074212446808815
31,0.6644114255905151,0.0746627151966095,1.0,0.1646183431148529,0.6626355051994324,0.0741792842745781,1.0,0.18124458193778992,0.0747101902961731,0.07491986453533173
32,0.6627042293548584,0.0746627151966095,1.0,0.1646183431148529,0.6608404517173767,0.0741792842745781,1.0,0.18124458193778992,0.0753985196352005,0.07674366980791092
33,0.6609131097793579,0.0746627151966095,1.0,0.1646183431148529,0.6589564085006714,0.0741792842745781,1.0,0.18124458193778992,0.07732585072517395,0.078655906021595
34,0.6590332388877869,0.0746627151966095,1.0,0.1646183431148529,0.6569785475730896,0.0741792842745781,1.0,0.18124458193778992,0.07916773110628128,0.08156295120716095
35,0.6570598483085632,0.0746627151966095,1.0,0.1646183431148529,0.6549021005630493,0.07418084889650345,1.0,0.18124902248382568,0.08198277652263641,0.08503371477127075
36,0.6549878716468811,0.07466396689414978,1.0,0.16462154686450958,0.6527220010757446,0.07418949902057648,1.0,0.1812736541032791,0.08528677374124527,0.08749862015247345
37,0.6528124809265137,0.07467185705900192,1.0,0.16464203596115112,0.650433361530304,0.07417856156826019,0.9890350699424744,0.18284398317337036,0.08809706568717957,0.0911683440208435
38,0.6505287289619446,0.07470276951789856,1.0,0.1647217869758606,0.6480316519737244,0.0745287761092186,0.9824561476707458,0.1841900497674942,0.09173811227083206,0.09560075402259827
39,0.6481320261955261,0.07508481293916702,0.9887056946754456,0.16453826427459717,0.6455122232437134,0.07498321682214737,0.9824561476707458,0.1841900497674942,0.0957636684179306,0.0969824269413948
40,0.6456178426742554,0.07553857564926147,0.9847374558448792,0.1658387929201126,0.6428707242012024,0.07498321682214737,0.9824561476707458,0.1841900497674942,0.09730648249387741,0.09850779175758362
41,0.6429817080497742,0.07550138235092163,0.9841269850730896,0.16708514094352722,0.6401033997535706,0.07492378354072571,0.9815912842750549,0.18403026461601257,0.09906766563653946,0.10302862524986267
42,0.6402199864387512,0.07546601444482803,0.9835700392723083,0.16699901223182678,0.6372066736221313,0.07494676858186722,0.9760316610336304,0.1828758865594864,0.1036628782749176,0.10890903323888779
43,0.6373289227485657,0.07502786070108414,0.9783718585968018,0.16594721376895905,0.6341775059700012,0.07521562278270721,0.9739313125610352,0.18237784504890442,0.10947335511445999,0.11474522203207016
44,0.6343057155609131,0.07524905353784561,0.976236879825592,0.16543719172477722,0.6310134530067444,0.0747731402516365,0.9649122953414917,0.18451447784900665,0.11520787328481674,0.12408532947301865
45,0.6311477422714233,0.0753345638513565,0.9603638648986816,0.1671147644519806,0.6277127861976624,0.0748118907213211,0.9648026823997498,0.18460488319396973,0.12422265857458115,0.1322869509458542
46,0.6278533339500427,0.07530452311038971,0.9522569179534912,0.16989269852638245,0.6242744326591492,0.0760718584060669,0.9637744426727295,0.18530268967151642,0.1325443685054779,0.14213551580905914
47,0.6244212985038757,0.07569651305675507,0.9520103335380554,0.1706983596086502,0.620698094367981,0.07693255692720413,0.9518172144889832,0.18555007874965668,0.14227120578289032,0.15556538105010986
48,0.6208515167236328,0.07755741477012634,0.9419037103652954,0.17102864384651184,0.6169846653938293,0.07619605213403702,0.9270949959754944,0.18511751294136047,0.15596191585063934,0.1690947264432907
49,0.6171446442604065,0.07633320987224579,0.917992889881134,0.17037560045719147,0.6131352186203003,0.0721188560128212,0.8680623769760132,0.17949821054935455,0.16927284002304077,0.18459157645702362
50,0.6133019924163818,0.07267078012228012,0.8644172549247742,0.1631740778684616,0.6091525554656982,0.07028014212846756,0.8487563133239746,0.17510618269443512,0.18505226075649261,0.20494087040424347
51,0.609326183795929,0.07077693194150925,0.847694993019104,0.1607530117034912,0.6050400137901306,0.06853261590003967,0.8427503108978271,0.18026365339756012,0.2052370309829712,0.22351056337356567
52,0.6052206158638,0.06935743987560272,0.8420575261116028,0.1603178232908249,0.6008018851280212,0.06900442391633987,0.8070672154426575,0.18386951088905334,0.22392643988132477,0.24426881968975067
53,0.600989580154419,0.07053828239440918,0.7996476292610168,0.16589556634426117,0.5964435935020447,0.07066687196493149,0.7975065112113953,0.18617725372314453,0.2448042780160904,0.26800045371055603
54,0.5966385006904602,0.07131969928741455,0.7856091260910034,0.17091886699199677,0.5919712781906128,0.07185438275337219,0.7836757898330688,0.18888823688030243,0.26803669333457947,0.2875538766384125
55,0.5921733975410461,0.07279983907938004,0.7724843621253967,0.17257337272167206,0.5873919725418091,0.07484383881092072,0.7551760673522949,0.19165922701358795,0.2874903976917267,0.3114181458950043
56,0.5876014232635498,0.07575526833534241,0.7470433115959167,0.173011913895607,0.5827134847640991,0.07069859653711319,0.7214896082878113,0.18762215971946716,0.3113066852092743,0.33360230922698975
57,0.582930326461792,0.07093232870101929,0.7167596817016602,0.17323468625545502,0.5779443383216858,0.07171546667814255,0.7111036777496338,0.1837691068649292,0.33440619707107544,0.3615894913673401
58,0.5781686305999756,0.07270119339227676,0.6990959048271179,0.17074957489967346,0.5730935335159302,0.07469315081834793,0.7003284692764282,0.18523263931274414,0.36243319511413574,0.39162153005599976
59,0.5733252763748169,0.07484566420316696,0.6804453730583191,0.17135724425315857,0.5681706666946411,0.07681839168071747,0.6781912446022034,0.18979528546333313,0.3914380967617035,0.41703328490257263
60,0.5684098601341248,0.08111628890037537,0.6344434022903442,0.17641188204288483,0.5631853342056274,0.0743972435593605,0.6467269659042358,0.18494382500648499,0.416593074798584,0.43843263387680054
61,0.5634320378303528,0.07611822336912155,0.6025499105453491,0.17692457139492035,0.5581477880477905,0.07480555027723312,0.6093962788581848,0.17923703789710999,0.43810704350471497,0.4654139578342438
62,0.5584020018577576,0.07384821027517319,0.5678730607032776,0.1713903546333313,0.5530681610107422,0.07605598866939545,0.5842153429985046,0.18594449758529663,0.46533653140068054,0.48951032757759094
63,0.5533298254013062,0.07302029430866241,0.552056074142456,0.1801011860370636,0.547956645488739,0.07564783841371536,0.5637739896774292,0.18822841346263885,0.48923826217651367,0.5012822151184082
64,0.5482257604598999,0.0767345055937767,0.5339111685752869,0.17852091789245605,0.5428233742713928,0.08280842006206512,0.536873459815979,0.19659163057804108,0.5012864470481873,0.5211119651794434
65,0.5430999398231506,0.08327919989824295,0.5079740881919861,0.1894075721502304,0.5376782417297363,0.08260238915681839,0.5079553127288818,0.20002281665802002,0.5209633111953735,0.5544158220291138
66,0.5379620790481567,0.08296942710876465,0.4674767255783081,0.19658756256103516,0.5325309038162231,0.08287644386291504,0.4982835650444031,0.20249128341674805,0.5534810423851013,0.579308032989502
