iteration,train_loss,test_loss,train_accuracy,test_accuracy,train_precision,test_precision,train_recall,test_recall,train_F1,test_F1
1,0.6940407752990723,0.6906853914260864,0.08266161382198334,0.08319885283708572,0.07485618442296982,0.07399976998567581,0.9902100563049316,0.9873585104942322,0.16458657383918762,0.1803664118051529
2,0.6908827424049377,0.6874983310699463,0.0834876149892807,0.08448104560375214,0.07461300492286682,0.07424358278512955,0.9882616400718689,0.9873585104942322,0.16404955089092255,0.18091259896755219
3,0.6877050995826721,0.6842350959777832,0.08480256795883179,0.08573007583618164,0.07484768331050873,0.07384879142045975,0.9880545735359192,0.9766033291816711,0.16451667249202728,0.17968466877937317
4,0.6844545006752014,0.6809344291687012,0.08610802888870239,0.08802918344736099,0.07452657073736191,0.07381685078144073,0.9800488948822021,0.974713146686554,0.16360457241535187,0.1795303225517273
5,0.6811675429344177,0.6775144934654236,0.08833442628383636,0.09009616076946259,0.07444731891155243,0.07297354191541672,0.9780709147453308,0.9571692943572998,0.1633577197790146,0.18025138974189758
6,0.6777627468109131,0.6738819479942322,0.09051810204982758,0.09289266914129257,0.07362274080514908,0.07230781763792038,0.9621978998184204,0.9417986869812012,0.16376204788684845,0.17970265448093414
7,0.6741478443145752,0.6700449585914612,0.09329991042613983,0.09761247038841248,0.07288743555545807,0.07232892513275146,0.9421859979629517,0.9392609596252441,0.16294348239898682,0.17922329902648926
8,0.6703291535377502,0.66597580909729,0.09793785214424133,0.10266386717557907,0.07279832661151886,0.07026519626379013,0.9398325085639954,0.9245638847351074,0.1623278260231018,0.17466062307357788
9,0.6662790179252625,0.6615720391273499,0.10285112261772156,0.11136288195848465,0.07075579464435577,0.0702490285038948,0.9238370060920715,0.9145162105560303,0.1594245284795761,0.17760737240314484
10,0.6618964672088623,0.6567720174789429,0.11164753884077072,0.121697798371315,0.07079155743122101,0.07057956606149673,0.9226340055465698,0.9132347702980042,0.16057844460010529,0.17817360162734985
11,0.6571245193481445,0.6515362858772278,0.12154053896665573,0.1343318223953247,0.07122477889060974,0.07041414082050323,0.9136443734169006,0.9014140367507935,0.16250275075435638,0.17885802686214447
12,0.6519197821617126,0.6458064913749695,0.13431978225708008,0.15421687066555023,0.07108642160892487,0.06988543272018433,0.9029516577720642,0.8792881369590759,0.16299769282341003,0.17948618531227112
13,0.6462249755859375,0.6395280361175537,0.15312787890434265,0.17427876591682434,0.07034963369369507,0.07045260071754456,0.8829421997070312,0.8760707378387451,0.16297079622745514,0.18011638522148132
14,0.6399838328361511,0.6326138973236084,0.17326515913009644,0.20197854936122894,0.07072216272354126,0.07034312188625336,0.8799899220466614,0.8502329587936401,0.1633574366569519,0.18235477805137634
15,0.6331111192703247,0.625025749206543,0.2012636810541153,0.23656460642814636,0.0708690732717514,0.06889259070158005,0.8641791939735413,0.8161901235580444,0.1637718379497528,0.1782989203929901
16,0.6255666613578796,0.6166831254959106,0.23552365601062775,0.27795955538749695,0.06895201653242111,0.06643632054328918,0.8297812342643738,0.7680184841156006,0.15936416387557983,0.17863978445529938
17,0.6172691583633423,0.6075310707092285,0.27591216564178467,0.322836309671402,0.06735493987798691,0.0651012733578682,0.7864473462104797,0.737529993057251,0.15966108441352844,0.1787438690662384
18,0.6081632375717163,0.5974969267845154,0.32064902782440186,0.36827677488327026,0.06570122390985489,0.061196424067020416,0.7556276917457581,0.6733392477035522,0.1578391045331955,0.182582288980484
19,0.5981794595718384,0.5865671038627625,0.3657276928424835,0.41152867674827576,0.06259578466415405,0.05858622491359711,0.700331449508667,0.6268386840820312,0.15573102235794067,0.18161825835704803
20,0.5873025059700012,0.5746166110038757,0.40861791372299194,0.4577871263027191,0.05954800918698311,0.05790121853351593,0.6425965428352356,0.5827155113220215,0.15425293147563934,0.18370670080184937
21,0.5754099488258362,0.5616350173950195,0.4549640715122223,0.4973582327365875,0.0593438558280468,0.05234040319919586,0.5914924740791321,0.5160968899726868,0.15893550217151642,0.19032946228981018
22,0.5624911785125732,0.5476192831993103,0.4946404993534088,0.5327622294425964,0.05260489881038666,0.04328209161758423,0.5236726999282837,0.45658713579177856,0.16560472548007965,0.17744581401348114
23,0.5485430955886841,0.5325973629951477,0.5298831462860107,0.5669724941253662,0.0424731969833374,0.041729968041181564,0.45801618695259094,0.42485514283180237,0.15185928344726562,0.17307206988334656
24,0.5335918068885803,0.516591489315033,0.5639959573745728,0.598187267780304,0.04119180887937546,0.03975796326994896,0.42781832814216614,0.39503687620162964,0.14759092032909393,0.16773559153079987
25,0.5176584124565125,0.4996872544288635,0.5958253741264343,0.6304631233215332,0.038929857313632965,0.035834211856126785,0.3927595615386963,0.3524239957332611,0.14789165556430817,0.1671394258737564
26,0.5008274912834167,0.4820367395877838,0.629539430141449,0.6667513847351074,0.03733867034316063,0.03386284410953522,0.35462212562561035,0.3211175799369812,0.14155761897563934,0.16651536524295807
27,0.4832479953765869,0.4638292193412781,0.6656365394592285,0.7014480233192444,0.0370711013674736,0.03234385699033737,0.3179570138454437,0.28774741291999817,0.1493549346923828,0.18028581142425537
28,0.4651077389717102,0.4452955722808838,0.7001671195030212,0.7324196100234985,0.03995972499251366,0.03115878812968731,0.2811076045036316,0.24628712236881256,0.16156338155269623,0.1812533438205719
29,0.44663891196250916,0.42672261595726013,0.7320440411567688,0.7573228478431702,0.037789247930049896,0.028103986755013466,0.24234692752361298,0.20454564690589905,0.1589505821466446,0.1788933128118515
30,0.4281254708766937,0.4084414541721344,0.7572227716445923,0.7776058316230774,0.03597608953714371,0.026032058522105217,0.21254241466522217,0.18927834928035736,0.14975467324256897,0.1662384420633316
