iteration,train_loss,test_loss,train_accuracy,test_accuracy,train_precision,test_precision,train_recall,test_recall,train_F1,test_F1
1,0.7011264562606812,0.6936026215553284,0.08234355598688126,0.08388415724039078,0.07449501007795334,0.07340647280216217,0.9924471378326416,0.9783052206039429,0.16411042213439941,0.18060514330863953
2,0.6937519311904907,0.6868508458137512,0.08424240350723267,0.08983088284730911,0.07388654351234436,0.07243756204843521,0.980830729007721,0.9602572321891785,0.16392557322978973,0.18111561238765717
3,0.6869893074035645,0.6800914406776428,0.08982976526021957,0.09583286941051483,0.07288812100887299,0.07181721180677414,0.9645490050315857,0.9494822025299072,0.16271375119686127,0.17946141958236694
4,0.6802003383636475,0.6724809408187866,0.09566397964954376,0.1076047271490097,0.07231108844280243,0.07016351073980331,0.9585768580436707,0.9212421774864197,0.1613675057888031,0.17824846506118774
5,0.6725956797599792,0.6636847257614136,0.1073276549577713,0.12837404012680054,0.07078016549348831,0.06929810345172882,0.9330480694770813,0.9055326581001282,0.16020835936069489,0.1773480623960495
6,0.6637896299362183,0.6536675095558167,0.12809155881404877,0.1561843752861023,0.07002945989370346,0.06929042190313339,0.9198502898216248,0.8853954076766968,0.15953969955444336,0.17836196720600128
7,0.6538205146789551,0.6428483724594116,0.15561537444591522,0.18444788455963135,0.06994082033634186,0.06714606285095215,0.9022255539894104,0.8549299240112305,0.1601274013519287,0.17529296875
8,0.6429980993270874,0.6306830048561096,0.1827261745929718,0.2225157469511032,0.06753696501255035,0.06697698682546616,0.8660216331481934,0.835769772529602,0.15520571172237396,0.1759805977344513
9,0.6308388113975525,0.6172444224357605,0.21956858038902283,0.26551342010498047,0.06711039692163467,0.06576407700777054,0.8394303321838379,0.7929725646972656,0.15789976716041565,0.176773339509964
10,0.6174368262290955,0.602007269859314,0.26230689883232117,0.3151320815086365,0.06583245098590851,0.06484775245189667,0.7972748279571533,0.7279293537139893,0.1579318791627884,0.18102724850177765
11,0.6021910309791565,0.5849621891975403,0.3121137022972107,0.3764784038066864,0.06494595110416412,0.0639607384800911,0.7464250922203064,0.6479944586753845,0.15792831778526306,0.18697208166122437
12,0.5851656794548035,0.5655364990234375,0.3758533000946045,0.4413949251174927,0.06384032964706421,0.06069645658135414,0.6750586628913879,0.6003477573394775,0.15993283689022064,0.18294644355773926
13,0.5657598972320557,0.5450620055198669,0.442711740732193,0.5020890831947327,0.06008214130997658,0.05938694253563881,0.6217713952064514,0.5449507236480713,0.15524880588054657,0.1888323724269867
14,0.5452859997749329,0.5227855443954468,0.5036979913711548,0.5625842809677124,0.06005347892642021,0.056562893092632294,0.5540887117385864,0.4635560214519501,0.16838622093200684,0.1939353048801422
15,0.5229941010475159,0.49956977367401123,0.5654770135879517,0.6165469288825989,0.0577939972281456,0.04700044170022011,0.46580225229263306,0.38020727038383484,0.1726609319448471,0.1914835423231125
