iteration,train_loss,test_loss,train_accuracy,test_accuracy,train_precision,test_precision,train_recall,test_recall,train_F1,test_F1
1,0.7000815272331238,0.69331294298172,0.0822770968079567,0.0834641307592392,0.07518190145492554,0.07489833235740662,0.9989229440689087,0.9985285997390747,0.16552767157554626,0.18259137868881226
2,0.6933155655860901,0.6866666674613953,0.08326924592256546,0.0853542611002922,0.07532495260238647,0.07522360980510712,0.9987235069274902,0.9985285997390747,0.165727436542511,0.1831590086221695
3,0.6866788864135742,0.6798713207244873,0.08512062579393387,0.08874765038490295,0.07565615326166153,0.0753895714879036,0.9907671213150024,0.9965490102767944,0.1675557643175125,0.18330520391464233
4,0.6798965334892273,0.6726371049880981,0.08898478001356125,0.09369956701993942,0.07589078694581985,0.07584404200315475,0.9890661239624023,0.9946433901786804,0.1678224503993988,0.183823823928833
5,0.6726877689361572,0.6648237109184265,0.09357524663209915,0.10309495031833649,0.07626654952764511,0.07762109488248825,0.9874539971351624,0.9933097958564758,0.16820523142814636,0.18659839034080505
6,0.6649038791656494,0.6561283469200134,0.10229570418596268,0.11638112366199493,0.0779080018401146,0.07797281444072723,0.9862750768661499,0.9859040379524231,0.1705877184867859,0.18510717153549194
7,0.6562391519546509,0.6464279890060425,0.11527908593416214,0.14037802815437317,0.07796592265367508,0.08136254549026489,0.9791826605796814,0.9790751338005066,0.16886650025844574,0.1885530799627304
8,0.646571159362793,0.6353808641433716,0.13917608559131622,0.17363767325878143,0.08216673880815506,0.08493708074092865,0.9654894471168518,0.9557334780693054,0.17356540262699127,0.19266894459724426
9,0.6355584859848022,0.622786283493042,0.17169861495494843,0.22410744428634644,0.08485761284828186,0.08144644647836685,0.949619710445404,0.8822758793830872,0.17522478103637695,0.1948699653148651
10,0.6230028867721558,0.6083917021751404,0.22226494550704956,0.2929810881614685,0.0800604596734047,0.07563743740320206,0.8674284219741821,0.804446280002594,0.17932969331741333,0.18172460794448853
11,0.6086463332176208,0.5919110178947449,0.29116466641426086,0.36413174867630005,0.07433174550533295,0.06839505583047867,0.7676730155944824,0.7376565933227539,0.17277434468269348,0.17585933208465576
12,0.5922060012817383,0.5731431841850281,0.36290788650512695,0.4441693425178528,0.06851234287023544,0.06375370919704437,0.6845211386680603,0.6251108050346375,0.17159326374530792,0.17252863943576813
13,0.5734788775444031,0.5520546436309814,0.4447150230407715,0.5267049670219421,0.06535251438617706,0.05833815038204193,0.5874477028846741,0.5241070985794067,0.16006840765476227,0.16634376347064972
14,0.5524234175682068,0.5284992456436157,0.5268164873123169,0.5998342037200928,0.05539660155773163,0.05945238843560219,0.489967405796051,0.4306374192237854,0.157951220870018,0.1729193925857544
15,0.528903067111969,0.5027222633361816,0.5998319387435913,0.6593677401542664,0.053888753056526184,0.04749682918190956,0.4058551788330078,0.35579919815063477,0.16586299240589142,0.16437362134456635
16,0.5031553506851196,0.4752363860607147,0.6600634455680847,0.713750422000885,0.04650397226214409,0.05580630525946617,0.30815020203590393,0.299837201833725,0.16259770095348358,0.17035746574401855
17,0.4756953716278076,0.4466526508331299,0.7143182754516602,0.7620758414268494,0.047980185598134995,0.055727455765008926,0.2619250416755676,0.2532903850078583,0.17358674108982086,0.15224602818489075
18,0.4471333920955658,0.41799435019493103,0.761599600315094,0.7983198761940002,0.04547300562262535,0.05978371202945709,0.21925438940525055,0.2048380970954895,0.166921928524971,0.17800205945968628
19,0.41848790645599365,0.39031368494033813,0.7978201508522034,0.819796621799469,0.0517304390668869,0.04797513410449028,0.17081642150878906,0.1565995067358017,0.1938125342130661,0.14532570540905
20,0.3908134698867798,0.3647085130214691,0.8189115524291992,0.8357135057449341,0.03461292386054993,0.06027357652783394,0.13021305203437805,0.13186322152614594,0.14686086773872375,0.13836756348609924
21,0.36520060896873474,0.3420353829860687,0.8352464437484741,0.8538299798965454,0.04483550041913986,0.0721454992890358,0.11057388037443161,0.11791215091943741,0.14775215089321136,0.11227942258119583
22,0.3425131142139435,0.3226204514503479,0.8533044457435608,0.8654913306236267,0.06419695168733597,0.05349466949701309,0.09876827895641327,0.09653300046920776,0.12860551476478577,0.11447205394506454
23,0.32307735085487366,0.3064509332180023,0.8648162484169006,0.8753398656845093,0.04888695478439331,0.04019170626997948,0.07945144176483154,0.08771929889917374,0.11875733733177185,0.10492672771215439
24,0.3068788945674896,0.29315730929374695,0.8750842809677124,0.884149432182312,0.030478963628411293,0.06473509967327118,0.0714285746216774,0.0623781681060791,0.1096571832895279,0.13270652294158936
25,0.293550580739975,0.28214120864868164,0.8838236927986145,0.8982867002487183,0.05321943014860153,0.03061598539352417,0.05782312899827957,0.044834308326244354,0.13939404487609863,0.08382805436849594
26,0.2824905216693878,0.27270758152008057,0.8974242210388184,0.9102133512496948,0.026842622086405754,0.03991115093231201,0.04195011407136917,0.02631578966975212,0.08661944419145584,0.1500493735074997
27,0.27300146222114563,0.26436808705329895,0.9096623063087463,0.9137061834335327,0.03063068352639675,0.06809906661510468,0.02442002482712269,0.023597724735736847,0.12168751657009125,0.13609746098518372
28,0.26459404826164246,0.25666555762290955,0.9129520654678345,0.9189897179603577,0.034171633422374725,0.059350743889808655,0.017232922837138176,0.010069187730550766,0.13433361053466797,0.09345138072967529
29,0.2568126618862152,0.24941790103912354,0.918468177318573,0.9203603267669678,0.034937355667352676,0.32464587688446045,0.00927412137389183,0.012168863788247108,0.10448374599218369,0.1720750331878662
30,0.24947841465473175,0.2425544708967209,0.9198021292686462,0.9194982051849365,0.3367427587509155,0.18562163412570953,0.010917160660028458,0.016697658225893974,0.1310705691576004,0.23076017200946808
31,0.24252153933048248,0.2360948771238327,0.9189096689224243,0.9194539785385132,0.20711474120616913,0.18699148297309875,0.014966457150876522,0.022427232936024666,0.2331898808479309,0.29204675555229187
32,0.2359657734632492,0.230096697807312,0.9192182421684265,0.918967604637146,0.16554589569568634,0.18536360561847687,0.02041368931531906,0.02281230315566063,0.2994932234287262,0.38334476947784424
33,0.2298734188079834,0.22467511892318726,0.9186770915985107,0.9189786911010742,0.2086687684059143,0.26883256435394287,0.02121385559439659,0.03192107006907463,0.40694284439086914,0.4330376982688904
34,0.22436532378196716,0.21998189389705658,0.9190283417701721,0.9183264970779419,0.2819574177265167,0.2745514214038849,0.028942357748746872,0.035516079515218735,0.44386982917785645,0.4622320234775543
35,0.2195981740951538,0.21607796847820282,0.918302059173584,0.9179396629333496,0.18984486162662506,0.37406212091445923,0.03210887685418129,0.03995232656598091,0.47275200486183167,0.46817746758461
36,0.21563631296157837,0.21297994256019592,0.9180979132652283,0.9174864888191223,0.3369259536266327,0.3376687467098236,0.036865707486867905,0.04415448009967804,0.419048935174942,0.41348007321357727
37,0.21249833703041077,0.21060702204704285,0.917827308177948,0.9178622961044312,0.3834800124168396,0.5069772005081177,0.04056895524263382,0.06079813465476036,0.4289039671421051,0.4383811950683594
38,0.21010278165340424,0.20882514119148254,0.9183495044708252,0.9146347045898438,0.4898974895477295,0.4242595434188843,0.056140024214982986,0.07216864079236984,0.45475897192955017,0.46415504813194275
39,0.20831550657749176,0.20738092064857483,0.9153445959091187,0.9159389734268188,0.37947219610214233,0.3515474498271942,0.06689426302909851,0.07815291732549667,0.4795364737510681,0.4777148365974426
