iteration,train_loss,train_precision,train_recall,train_F1,test_loss,test_precision,test_recall,test_F1,train_acc,test_acc
45,0.1978476345539093,0.9917219877243042,0.34604743123054504,0.8640622496604919,0.21059028804302216,0.2975188195705414,0.40002062916755676,0.7989641427993774,0.9711422324180603,0.9583176970481873
46,0.19493485987186432,0.9917219877243042,0.34644976258277893,0.8646373748779297,0.20773077011108398,0.2984935939311981,0.4026334881782532,0.8036664128303528,0.9712277054786682,0.9590582251548767
47,0.19213566184043884,0.9917219877243042,0.34855636954307556,0.8683437705039978,0.20496344566345215,0.2996995747089386,0.4052221179008484,0.8081186413764954,0.9715790152549744,0.959865152835846
48,0.18944597244262695,0.9918259978294373,0.3511446416378021,0.8723183870315552,0.20226629078388214,0.30069485306739807,0.4054192304611206,0.8096421360969543,0.9720726609230042,0.9601414799690247
49,0.18685849010944366,0.9918259978294373,0.3514247536659241,0.8727509379386902,0.19964784383773804,0.30083996057510376,0.40519431233406067,0.8096295595169067,0.9721438884735107,0.9603183269500732
50,0.18436788022518158,0.9918259978294373,0.3514247536659241,0.8727509379386902,0.19714021682739258,0.3083200752735138,0.41238901019096375,0.8139974474906921,0.9721438884735107,0.9615120887756348
51,0.18196909129619598,0.9976422786712646,0.3577485978603363,0.8751493096351624,0.19476677477359772,0.3084593713283539,0.41238901019096375,0.814203679561615,0.9732262492179871,0.9617000222206116
52,0.17965443432331085,0.9976864457130432,0.3577485978603363,0.8751661777496338,0.19252298772335052,0.3090309798717499,0.41238901019096375,0.8148391246795654,0.9732309579849243,0.9617663025856018
53,0.177419513463974,0.9976864457130432,0.3578261137008667,0.8752745389938354,0.19037847220897675,0.313346803188324,0.4193142354488373,0.8143333196640015,0.9732547402381897,0.9617000222206116
54,0.17526228725910187,0.9921512603759766,0.36502188444137573,0.874485194683075,0.18830324709415436,0.3186817467212677,0.42597922682762146,0.8144456148147583,0.9730648398399353,0.9620758295059204
55,0.17317886650562286,0.9922842979431152,0.37125661969184875,0.8745594620704651,0.18630000948905945,0.3289870619773865,0.4435230791568756,0.8179128766059875,0.9734493494033813,0.9628826975822449
56,0.171167254447937,0.992537260055542,0.38712963461875916,0.8786722421646118,0.18439136445522308,0.32913997769355774,0.44367432594299316,0.8182706236839294,0.974284827709198,0.9629490375518799
57,0.16922427713871002,0.992537260055542,0.387367844581604,0.8790069222450256,0.18258143961429596,0.3292594850063324,0.44367432594299316,0.8184372186660767,0.9743418097496033,0.9629380106925964
58,0.16734491288661957,0.992537260055542,0.387367844581604,0.8790069222450256,0.18084295094013214,0.3290436267852783,0.44419625401496887,0.8186831474304199,0.9743418097496033,0.9630596041679382
59,0.16552676260471344,0.9927211403846741,0.3877679705619812,0.8795621395111084,0.17914068698883057,0.3294104337692261,0.4442460536956787,0.819226086139679,0.9744319915771484,0.9631590843200684
60,0.1637657731771469,0.9927211403846741,0.3877679705619812,0.8795621395111084,0.1774771511554718,0.33681681752204895,0.4576909840106964,0.82921302318573,0.9744319915771484,0.9646954536437988
61,0.16205865144729614,0.9978730082511902,0.3994290232658386,0.889017641544342,0.17588716745376587,0.3367055356502533,0.4605382978916168,0.8320785164833069,0.9759083390235901,0.9648944139480591
62,0.16040247678756714,0.9978744983673096,0.40178540349006653,0.8922432661056519,0.17438507080078125,0.33672094345092773,0.4612109065055847,0.8328818082809448,0.9761979579925537,0.9650492072105408
63,0.15879379212856293,0.9978744983673096,0.4022792875766754,0.8929210901260376,0.17294342815876007,0.3359255790710449,0.46294260025024414,0.8336673974990845,0.9763023853302002,0.9649938941001892
64,0.15723185241222382,0.9951459169387817,0.40419796109199524,0.8941443562507629,0.17152921855449677,0.3360348343849182,0.46302342414855957,0.8341224193572998,0.9763545989990234,0.9650160074234009
65,0.15571442246437073,0.9951459169387817,0.40419796109199524,0.8941443562507629,0.1701548546552658,0.3362402021884918,0.46302342414855957,0.8343496918678284,0.9763545989990234,0.9650270938873291
